31700000 Hervé
94300 Arjen Anthony Lucassen
94200 Peter Benoit
93800 Johann Walter
93600 Felix Bernard
93500 Joseph Marx
93400 William Mathias
93400 Paulo Bellinati
93300 Stephen Albert
92900 Henri Tomasi
92400 Vincenzo Galilei
92200 Cathy Berberian
92100 Roger Sessions
92000 Walter Zimmermann
91900 Sigfrid Karg-Elert
91900 Gordon Hamilton
91700 Elias Parish Alvars
91400 Philippe de Vitry
91400 Pascal Dusapin
91300 Joe Dolce
91200 Joby Talbot
91200 Emmerich Kálmán
91000 Alphons Diepenbrock
90800 Klaus Lang
90600 Uzeyir Hajibeyov
90400 Stefano Landi
90300 Peter Schickele
90100 Samuel Adler
89900 Johann Kuhnau
89600 Jörg Demus
89500 William Duckworth
89400 Carlo Domeniconi
89100 Roberto Sierra
89100 Niccolò Piccinni
89000 Craig Walsh
88800 Barbara Strozzi
88600 Thomas Brewer
88300 Tristan Murail
88300 John Plummer
88100 Simon Holt
88000 Johan Svendsen
88000 Eugène Ysaÿe
87900 Stewart Wallace
87800 Ludwig Berger
87700 Ignacio Cervantes
87500 Thomas Attwood
87500 Philippe de Monte
87500 Komitas Vardapet
87500 Ernest Walker
87400 Olle Adolphson
87400 Gabriel Pierné
87200 William Corbett
87200 Anton Arensky
87000 Thomas Weelkes
87000 Joseph Lamb
86900 Niccolò Jommelli
86500 Sonny Burke
86300 Arne Nordheim
86200 Georg Muffat
86200 Don Harper
86000 Marc Blitzstein
85300 Poul Ruders
85300 Friedrich von Flotow
85200 Francesco Feo
85100 Jimmy Lopez
84800 Victor De Sabata
84800 Hugo Distler
84700 Øystein Baadsvik
84600 Lennox Berkeley
84500 Robert Carver
84400 Giovanni Valentini
84400 Domenico Zipoli
84300 Josef Rheinberger
84300 Edison Denisov
84300 Blas Galindo
84300 Barbara Heller
84200 Mark-Anthony Turnage
84200 Hugo Alfvén
84100 Mart Saar
83700 Samuel Coleridge-Taylor
83700 Leopold Auer
83700 Karl King
83700 Alvin Curran
83600 Marcos Portugal
83600 Christopher Hobbs
83500 Jörg Widmann
83400 Alessandro Longo
83000 Leo Fall
82900 Teo Macero
82700 Philippe Gaubert
82300 Christoph Bernhard
82200 Jakub Jan Ryba
82100 Ferdinand Ries
82000 Walford Davies
81800 Henry VIII, King of England
81800 Francesco da Milano
81800 Carl Jonas Love Almqvist
81700 Julian Anderson
81600 Ivan Zajc
81400 Joseph Haas
81400 Henry Aldrich
81300 François Bazin
81300 Carl Zeller
81200 Walter Damrosch
81100 Luís de Freitas Branco
81000 Ralph Benatzky
80800 William Sweeney
80700 Anne Boyd
80600 Juan de Araujo
80600 Felix Weingartner
80400 Jennifer Higdon
80100 Jake Heggie
80100 Heinrich Ignaz Franz von Biber
80100 Eugene Goossens
80000 Frankie Trumbauer
79900 Heino Eller
79700 Orazio Vecchi
79500 Víctor Varela
79500 Josef Fiala
79500 Constant Lambert
79400 Joseph Schmitt
79200 Jonathan Berger
79100 Simeon ten Holt
79100 Alexander von Zemlinsky
79000 Leon René
79000 Larry Austin
78800 Wilhelm Stenhammar
78800 Unsuk Chin
78800 Edward Solomon
78700 Thierry Escaich
78700 Luigi Denza
78600 Thomas Tomkins
78600 Raúl Borges
78400 Mikalojus Konstantinas Čiurlionis
78400 Ethel Smyth
78300 William Horwood
78100 R. Murray Schafer
78100 Guy Ropartz
78100 Gaspar Fernandes
78000 William Alwyn
78000 Dmitri Kabalevsky
78000 Christoph Graupner
77900 Franco Donatoni
77800 Reinhard Keiser
77600 Erik Bergman
77500 Theo Bleckmann
77500 Matthias Pintscher
77500 Franz Danzi
77400 Rudolf Friml
77300 Alexandre Tansman
77100 Claude Terrasse
76900 Nicanor Abelardo
76900 Adriano Banchieri
76800 Federico Ricci
76800 David Lewin
76700 Vincent Persichetti
76500 Aribert Reimann
76300 Georg Böhm
76200 Samuel Lover
76100 Mily Balakirev
75900 Francesco Landini
75800 Borlet
75700 James Tenney
75600 Tarquinio Merula
75500 William Lawes
75400 Jerome Moross
75300 Giovanni Battista Sammartini
75200 Jan Sandström
75100 Warren Barker
74900 Hans Zender
74800 Arthur Berger
74600 António Carreira
74400 Ignaz Moscheles
74300 Irmin Schmidt
